127.0.0.1 - - [09/Aug/2022:15:20:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:20:53 +0900] "GET /semiProject/main2.jsp HTTP/1.1" 500 8237
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:20:54 +0900] "GET /semiProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:20:54 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:20:54 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:20:54 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:03 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72156
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:03 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:03 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:03 +0900] "GET /semiProject/logo_ver3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:04 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:04 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:04 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:29 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72156
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:29 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:29 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:30 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:47 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72134
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:47 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:47 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:48 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:48 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:21:48 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:20 +0900] "GET /semiProject/main2 HTTP/1.1" 200 71815
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:20 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:20 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:21 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:21 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:21 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:49 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72133
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:49 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:49 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:50 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:50 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:22:50 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:34 +0900] "GET /semiProject/main2 HTTP/1.1" 200 71832
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:34 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:34 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:35 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:35 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:35 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:56 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72134
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:56 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:56 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:57 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:26:57 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
